Authors,Title,CitationKey,Original_Search,Forward_Search,Backward_Search,1991,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,HCSS,HPS,IE,MI,ORMS,TandO,JCR_None,Article,Conference_Paper,Data_Driven,Collaberation,Primary_Data,Secondary_Data,Expert_Opinion,Theoretical,Conceptualised,Implemented,Africa,Asia,Europe,North_America,Oceania,South_America,No_Continent,Academia,Authorities,Commerce,Grants,Health_Services,No_Mention,No_Funder,Fractures,Sports,Spine,Pediatrics,Shoulder,Elbow,Hands,Foot_and_Ankle,Knee,Hip,General,Acute,Chronic,CA_Surgical,Primary_Care,Secondary_Care,Tertiary_Care,Community_Care,Patient_Progression_Care,No_Care_Area,Clinical,Department,Hospital,Patient_Assessment,Outpatients,Inpatients,Pathway_Surgery,Post_Surgery,Rehab,Follow_Up,Decision_Making,Patient,Provider,Societal,Evaluating,Forecasting,Improving,Decision_Analysis,Graph_Theory,Heuristics,Markov_Model,MCDM,Optimisation,Queuing_Theory,Simulation,Soft_OR,Statistical,ABM,AHP,Break_Even,Decision_Tree,Delphi,DES,Genetic_Algorithm,Goal_Programming,Integer_Programming,Knapsack,Mathematical_Model,Microsimulation,MILP,Markov_Method,Monte_Carlo,Neighbourhood,PSO,Queuing_Model,Scatter_Search,SNA,Statistical_Analysis,SD,Tabu_Search,Delphi2nd,DES2nd,Forecasting2nd,Microsimulation2nd,Monte2nd,Sensitivity2nd,Simulation2nd,NoSecond,Cost,Health,Time,Strategic,Tactical,Operational_Offline,Operational_Online,No_Planning,Bed_Management,Capacity_Planning,Cost_Analysis,Cost_Effectiveness,Cost_Utility,Expected_Value,Health_Utility,Location_Planning,Manufacturing,Medical_Decision,Medical_Simulation,Patient_Scheduling,Risk_Benefit,Staff_Utilisation,System_Design
"Aae, T. F.; Randsborg, P.-H.; LurÃ¥s, H.; Ã…rÃ¸en, A.; Lian, Ã˜. B.",Microfracture is more cost-effective than autologous chondrocyte implantation: a review of level 1 and level 2 studies with 5Â year follow-up,Aae20181044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Abdel M.P., Miller L.E., Hanssen A.D., Pagnano M.W.",Cost Analysis of Dual-Mobility Versus Large Femoral Head Constructs in Revision Total Hip Arthroplasty,Abdel2019260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aichmair, A.; Burgstaller, J. M.; Schwenkglenks, M.; Steurer, J.; Porchet, F.; Brunner, F.; Farshad, M.; Group, L.S.O.S. Study",Cost-effectiveness of conservative versus surgical treatment strategies of lumbar spinal stenosis in the Swiss setting: analysis of the prospective multicenter Lumbar Stenosis Outcome Study (LSOS),Aichmair2017501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Al Hasan H., Guéret C., Lemoine D., Rivreau D.",Surgical case scheduling with sterilising activity constraints,AlHasan20192984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Albright R.H., Haller S., Klein E., Baker J.R., Weil L., Jr., Weil L.S., Sr., Fleischer A.E.",Cost-Effectiveness Analysis of Primary Arthrodesis Versus Open Reduction Internal Fixation for Primarily Ligamentous Lisfranc Injuries,Albright2018325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Albright, R. H.; Waverly, B. J.; Klein, E.; Weil L., Jr.; Weil L.S., Sr.; Fleischer, A. E.",Percutaneous Kirschner Wire Versus Commercial Implant for Hammertoe Repair: A Cost-Effectiveness Analysis,Albright2018332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Aleem, I. S.; Karanicolas, P. J.; Bhandari, M.",Arthroplasty versus internal fixation of femoral neck fractures: A clinical decision analysis,Aleem2009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ali, Z. S.; Thavorn, K.; Murphy, R.; Sparavalo, S.; Wong, I.",Primary Bankart Repair Versus Arthroscopic Anatomic Glenoid Reconstruction in Patients with Subcritical Bone Loss: A Cost-Utility Analysis,Ali2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ament J., Thaci B., Yang Z., Kulubya E., Hsu W., Bouma G., Kim K.D.",Cost-effectiveness of a Bone-anchored Annular Closure Device Versus Conventional Lumbar Discectomy in Treating Lumbar Disc Herniations,Ament2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ament, J. D.; Yang, Z.; Nunley, P.; Stone, M. B.; Kim, K. D.",Cost-effectiveness of cervical total disc replacement vs fusion for the treatment of 2-level symptomatic degenerative disc disease,Ament2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
